BN_336	BN_337	BN_338	BN_339
ENSRNOG00000000017	7	11	4	4
ENSRNOG00000000024	2467	2478	3258	2316
ENSRNOG00000000033	206	282	330	244
ENSRNOG00000000034	758	672	1335	767
ENSRNOG00000000036	237	163	211	189
ENSRNOG00000000040	20	13	32	21
ENSRNOG00000000042	961	894	1917	1306
ENSRNOG00000000043	364	382	683	449
ENSRNOG00000000044	248	269	984	749
ENSRNOG00000000047	1336	1586	2133	1675
ENSRNOG00000000048	3441	3730	4366	3830
ENSRNOG00000000053	207028	328515	425896	359795
ENSRNOG00000000054	112	84	291	203
ENSRNOG00000000062	374	346	749	480
ENSRNOG00000000064	4087	3896	2673	3194
ENSRNOG00000000065	11	16	25	23
ENSRNOG00000000066	802	875	1221	991
ENSRNOG00000000068	6344	6428	60505	51483
ENSRNOG00000000073	3457	3223	4784	3376
ENSRNOG00000000075	597	525	3619	2974
ENSRNOG00000000081	1096	672	1199	976
ENSRNOG00000000082	1327	1336	1407	1195
ENSRNOG00000000095	1457	1474	1930	1541
ENSRNOG00000000096	2075	1747	2102	2100
ENSRNOG00000000098	1552	1683	1984	1542
ENSRNOG00000000104	761	769	801	727
ENSRNOG00000000105	96	70	152	107
ENSRNOG00000000108	1253	1070	2494	2262
ENSRNOG00000000111	77	96	85	102
ENSRNOG00000000112	659	753	2404	1870
ENSRNOG00000000113	329	301	454	396
ENSRNOG00000000121	232	246	360	283
ENSRNOG00000000122	5988	6170	15058	14477
ENSRNOG00000000123	461	674	782	552
ENSRNOG00000000127	1743	1801	8070	6580
ENSRNOG00000000130	312	371	456	403
ENSRNOG00000000133	1628	1573	2064	1695
ENSRNOG00000000137	293	413	569	350
ENSRNOG00000000138	12	4	9	3
ENSRNOG00000000142	358	240	566	343
ENSRNOG00000000145	124	122	223	208
ENSRNOG00000000150	2061	1657	2721	2205
ENSRNOG00000000151	405	387	827	571
ENSRNOG00000000155	1087	1250	15877	14374
ENSRNOG00000000156	58	71	176	157
ENSRNOG00000000157	1554	1423	3039	2367
ENSRNOG00000000158	32420	32487	41839	32771
ENSRNOG00000000161	1053	1041	1408	1154
ENSRNOG00000000164	14311	14359	19669	14976
ENSRNOG00000000165	3025	2644	3748	3675
ENSRNOG00000000166	229	240	362	297
ENSRNOG00000000167	1437	1948	1412	1270
ENSRNOG00000000168	1083	1621	1891	1206
ENSRNOG00000000169	148	174	204	156
ENSRNOG00000000170	1232	1267	3164	2718
ENSRNOG00000000172	2823	2896	2567	2397
ENSRNOG00000000175	91	89	167	102
ENSRNOG00000000177	625	723	979	704
ENSRNOG00000000184	11588	11587	17357	12978
ENSRNOG00000000185	4565	4922	4618	4051
ENSRNOG00000000186	15672	17484	29637	24573
ENSRNOG00000000187	348	707	987	592
ENSRNOG00000000190	831	898	4956	3882
ENSRNOG00000000201	8707	8446	7324	7348
ENSRNOG00000000204	1911	1994	6060	5952
ENSRNOG00000000219	1704	1763	2538	1973
ENSRNOG00000000221	2854	2708	19989	13689
ENSRNOG00000000230	635	723	1113	875
ENSRNOG00000000231	35	58	108	76
ENSRNOG00000000236	2116	2490	2827	2364
ENSRNOG00000000237	242	272	297	285
ENSRNOG00000000239	5	11	10	10
ENSRNOG00000000244	166	239	223	194
ENSRNOG00000000245	126	151	374	206
ENSRNOG00000000246	592	778	3300	2591
ENSRNOG00000000247	398	477	746	638
ENSRNOG00000000248	1812	2833	3026	2687
ENSRNOG00000000249	394	394	410	293
ENSRNOG00000000250	195	387	270	335
ENSRNOG00000000257	349	422	720	515
ENSRNOG00000000258	750	748	781	692
ENSRNOG00000000262	148	148	178	144
ENSRNOG00000000264	1029	1189	1388	1278
ENSRNOG00000000274	1	3	2	4
ENSRNOG00000000275	31	23	13	31
ENSRNOG00000000277	45	45	74	40
ENSRNOG00000000279	310	320	329	279
ENSRNOG00000000281	4784	5600	5452	5869
ENSRNOG00000000288	79	91	169	113
ENSRNOG00000000299	1837	896	3430	1851
ENSRNOG00000000302	2378	1882	2713	2493
ENSRNOG00000000303	216	224	361	307
ENSRNOG00000000304	27886	28704	35192	30557
ENSRNOG00000000306	211	242	273	267
ENSRNOG00000000307	48	46	80	61
ENSRNOG00000000308	212	303	354	270
ENSRNOG00000000312	904	881	1094	950
ENSRNOG00000000314	6373	5900	8049	7439
ENSRNOG00000000316	44	35	119	60
ENSRNOG00000000321	81	108	255	182
ENSRNOG00000000322	1159	1183	1870	1454
ENSRNOG00000000323	85	100	472	330
