BN_341	BN_342	BN_343	BN_344
ENSRNOG00000000017	15	5	10	2
ENSRNOG00000000024	5206	5921	2864	1985
ENSRNOG00000000033	30	30	23	13
ENSRNOG00000000034	943	775	842	311
ENSRNOG00000000036	80	49	30	7
ENSRNOG00000000040	13	11	8	8
ENSRNOG00000000042	451	426	313	234
ENSRNOG00000000043	462	489	413	201
ENSRNOG00000000044	218	162	244	228
ENSRNOG00000000047	2421	2531	1615	990
ENSRNOG00000000048	3059	2843	1667	1069
ENSRNOG00000000053	406356	623508	388105	256816
ENSRNOG00000000054	25	34	93	36
ENSRNOG00000000062	66	70	58	20
ENSRNOG00000000064	5796	6978	3346	2820
ENSRNOG00000000065	2	2	1	0
ENSRNOG00000000066	553	572	350	231
ENSRNOG00000000068	2803	2624	10475	8634
ENSRNOG00000000073	4164	4036	3187	1728
ENSRNOG00000000075	193	194	569	390
ENSRNOG00000000081	915	767	2696	1707
ENSRNOG00000000082	834	833	515	336
ENSRNOG00000000095	970	915	573	380
ENSRNOG00000000096	3656	3339	1799	1358
ENSRNOG00000000098	549	559	419	277
ENSRNOG00000000104	558	658	385	239
ENSRNOG00000000105	44	43	37	12
ENSRNOG00000000108	2024	1793	2987	1770
ENSRNOG00000000111	93	119	69	58
ENSRNOG00000000112	669	803	1153	644
ENSRNOG00000000113	168	184	123	73
ENSRNOG00000000121	124	73	49	32
ENSRNOG00000000122	8059	7844	11517	7366
ENSRNOG00000000123	194	190	141	75
ENSRNOG00000000127	2202	2447	1417	1045
ENSRNOG00000000130	322	455	348	330
ENSRNOG00000000133	1544	1476	1142	664
ENSRNOG00000000137	272	378	274	135
ENSRNOG00000000138	2	1	1	1
ENSRNOG00000000142	80	87	71	36
ENSRNOG00000000145	70	75	23	49
ENSRNOG00000000150	1418	1276	867	601
ENSRNOG00000000151	683	680	483	302
ENSRNOG00000000155	704	776	3591	2830
ENSRNOG00000000156	11	37	183	86
ENSRNOG00000000157	649	710	443	234
ENSRNOG00000000158	35998	37778	27702	17025
ENSRNOG00000000161	727	814	435	304
ENSRNOG00000000164	22135	22258	17206	10576
ENSRNOG00000000165	3112	3867	1560	1285
ENSRNOG00000000166	331	320	205	140
ENSRNOG00000000167	666	710	513	361
ENSRNOG00000000168	2140	2897	1817	1024
ENSRNOG00000000169	92	88	46	36
ENSRNOG00000000170	143	150	140	108
ENSRNOG00000000172	5040	5300	2514	1742
ENSRNOG00000000175	68	55	32	26
ENSRNOG00000000177	343	318	1328	723
ENSRNOG00000000184	8697	6810	5421	2912
ENSRNOG00000000185	7878	6672	4374	2364
ENSRNOG00000000186	35718	36639	20426	11465
ENSRNOG00000000187	368	544	1219	630
ENSRNOG00000000190	328	323	1504	1044
ENSRNOG00000000201	13885	10759	7998	4820
ENSRNOG00000000204	2449	2966	4081	3492
ENSRNOG00000000219	3130	3464	2072	1390
ENSRNOG00000000221	1272	1517	1097	597
ENSRNOG00000000230	1035	979	691	416
ENSRNOG00000000231	34	42	31	17
ENSRNOG00000000236	2564	2814	1704	1229
ENSRNOG00000000237	336	434	219	142
ENSRNOG00000000239	5	6	7	2
ENSRNOG00000000244	257	276	103	99
ENSRNOG00000000245	69	109	64	28
